date,price,Qty.
2023/03/13,48.75,4691559
2023/03/14,48.65,7700295
2023/03/15,49.05,4440530
2023/03/16,47.9,4675206
2023/03/17,48.8,15145724
2023/03/20,48.75,4695121
2023/03/21,48.15,4995999
2023/03/22,49.15,4030736
2023/03/23,48.65,5901354
2023/03/24,48.5,3224108
2023/03/27,48.55,2866429
2023/03/28,48.9,2835264
2023/03/29,48.7,4529231
2023/03/30,48.6,3743683
2023/03/31,48.7,6673808
2023/04/03,49.0,4709769
2023/04/04,49.65,3375576
2023/04/06,49.95,4476003
2023/04/11,50.3,3719247
2023/04/12,51.1,5841923
2023/04/13,51.05,3886322
2023/04/14,51.05,4752583
2023/04/17,51.0,5828874
2023/04/18,50.75,3236407
2023/04/19,50.65,3839075
2023/04/20,51.0,4299788
2023/04/21,51.85,7366079
2023/04/24,51.0,5556132
2023/04/25,50.9,4195219
2023/04/26,51.45,4868220
2023/04/27,52.1,4304126
2023/04/28,52.5,7725799
2023/05/02,52.95,3952492
2023/05/03,52.65,3488056
2023/05/04,54.45,7435821
2023/05/05,53.7,3718551
2023/05/08,53.8,3083937
2023/05/09,53.15,5708345
2023/05/10,52.95,4378793
2023/05/11,53.0,3867218
2023/05/12,51.8,4762658
2023/05/15,52.35,3149643
2023/05/16,51.5,4059727
2023/05/17,51.05,4831300
2023/05/18,51.05,4528614
2023/05/19,51.1,2920489
2023/05/22,51.0,5785995
2023/05/23,48.35,3395140
2023/05/24,48.95,5940585
2023/05/25,48.45,3280379
2023/05/29,48.1,4554711
2023/05/30,48.1,3111581
2023/05/31,47.35,12209519
2023/06/01,46.65,6086134
2023/06/02,47.65,4388091
2023/06/05,48.3,3931894
2023/06/06,48.4,2280890
2023/06/07,48.15,2941782
2023/06/08,48.85,2266729
2023/06/09,49.3,3375450
2023/06/12,49.55,2287917
2023/06/13,49.1,3621734
2023/06/14,48.85,2831041
2023/06/15,48.95,5423907
2023/06/16,49.25,6290801
2023/06/19,49.3,2669283
2023/06/20,49.15,3682403
2023/06/21,48.5,3971856
2023/06/23,48.15,3625259
2023/06/26,47.95,3084511
2023/06/27,48.55,3681533
2023/06/28,48.7,2975441
2023/06/29,47.55,6057043
2023/06/30,47.85,3737128
2023/07/03,48.15,4235861
2023/07/04,47.95,2335573
2023/07/05,47.6,2794309
2023/07/06,46.25,6691595
2023/07/07,46.0,4757294
2023/07/10,46.1,3618920
2023/07/11,46.85,4989113
2023/07/12,46.8,3975291
2023/07/13,47.45,3423534
2023/07/14,47.7,4732271
2023/07/18,47.2,3727413
2023/07/19,47.0,3908414
2023/07/20,47.2,3248016
2023/07/21,47.55,3145499
2023/07/24,47.2,3594141
2023/07/25,47.8,4336735
2023/07/26,47.85,2453572
2023/07/27,48.55,2553388
2023/07/28,48.45,4148711
2023/07/31,48.1,5311060
2023/08/01,47.85,3586171
2023/08/02,46.95,4317619
2023/08/03,46.3,5947109
2023/08/04,44.15,19723014
2023/08/07,44.3,5942437
2023/08/08,43.4,7657581
2023/08/09,43.2,5365395
2023/08/10,43.25,5780607
2023/08/11,43.05,5590669
2023/08/14,42.6,5834436
2023/08/15,42.5,4507598
2023/08/16,42.0,7829413
2023/08/17,41.7,4941155
2023/08/18,41.15,5281912
2023/08/21,40.55,7117589
2023/08/22,41.0,5439346
2023/08/23,41.05,2618712
2023/08/24,41.5,4038261
